id,slug,name,kind,expectedCategory,actualCategoryIds,status
burgersRestaurants_bb792caf2487,pax-burgers-bb79,Pax Burgers,restaurant,burgers,burgers,OK
burgersRestaurants_bebf6534ac83,tarantino-burgers-athens-bebf,Tarantino Burgers Athens,restaurant,burgers,burgers,OK
burgersRestaurants_bfe01035e2db,agora-select-bfe0,Agora Select,restaurant,burgers,burgers|greek-restaurants,OK
burgersRestaurants_c05eb7f13ddf,psychiatreio-c05e,Ψυχιατρείο,restaurant,burgers,burgers|cheap-eats,OK
burgersRestaurants_c2797cbf1cc8,jacaranda-c279,Jacaranda,restaurant,burgers,burgers|cheap-eats,OK
burgersRestaurants_c336eb92f70f,benjamin-burger-house-c336,Benjamin Burger House,restaurant,burgers,burgers,OK
burgersRestaurants_c3d0c3efec16,ohmami-street-food-thessaloniki-c3d0,Ohmami - Street Food / Thessaloniki,restaurant,burgers,burgers|cheap-eats,OK
burgersRestaurants_c5b9db65b8f8,ala-burger-c5b9,Ala Burger,restaurant,burgers,burgers,OK
burgersRestaurants_c839a7ca9229,prigkipas-c839,Πρiγκιπας,restaurant,burgers,burgers|cheap-eats,OK
burgersRestaurants_ca036ca42e3f,pax-burgers-ca03,Pax burgers,restaurant,burgers,burgers,OK
burgersRestaurants_cc99e8bcfb01,ortsag-nextgen-street-resto-cc99,ORTSAG - NextGen Street Resto,restaurant,burgers,burgers,OK
burgersRestaurants_cd2472c6c11c,burger-lab-cd24,Burger lab,restaurant,burgers,burgers,OK
burgersRestaurants_cd431d540de7,guerilla-chef-burgers-cd43,Guerilla Chef Burgers,restaurant,burgers,burgers,OK
burgersRestaurants_cdde40de0c45,the-burger-dudes-cdde,The Burger Dudes,restaurant,burgers,burgers,OK
burgersRestaurants_ceb67d2517dd,godgilla-umami-street-food-ceb6,Godgilla umami street food,restaurant,burgers,burgers|cheap-eats,OK
burgersRestaurants_d078b3ea9f88,burgerilla-voulas-d078,BURGERILLA.VOULAS,restaurant,burgers,burgers,OK
burgersRestaurants_d1aa1b03e041,evora-eatery-d1aa,Evora Eatery,restaurant,burgers,burgers,OK
burgersRestaurants_d1dcd32d4d8e,stivos-burger-steak-d1dc,STIVOS BURGER & STEAK,restaurant,burgers,burgers|cheap-eats,OK
burgersRestaurants_d27855febf5e,cantina-manara-d278,Cantina Manara,restaurant,burgers,burgers|cheap-eats,OK
burgersRestaurants_d3fef77d7e5b,the-burger-joint-d3fe,The Burger Joint,restaurant,burgers,burgers,OK
burgersRestaurants_d46a3e1807bd,what-they-said-d46a,What They Said,restaurant,burgers,burgers,OK
